100.000,0.000
100.000,0.263
99.995,1.028
99.974,2.295
99.917,4.062
99.800,6.329
99.586,9.093
99.235,12.347
98.698,16.083
97.920,20.288
96.840,24.942
95.388,30.018
93.494,35.480
91.082,41.280
88.074,47.360
84.392,53.646
79.963,60.050
74.716,66.465
68.592,72.768
61.543,78.819
53.540,84.460
44.576,89.515
34.669,93.798
23.872,97.109
12.272,99.244
0.000,100.000
-12.770,99.181
-25.815,96.610
-38.867,92.138
-51.609,85.653
-63.684,77.099
-74.699,66.483
-84.237,53.890
-91.872,39.490
-97.186,23.555
-99.791,6.455
-99.355,-11.338
-95.626,-29.251
-88.463,-46.629
-77.861,-62.751
-63.974,-76.859
-47.140,-88.192
-27.882,-96.034
-6.918,-99.760
14.856,-98.890
36.391,-93.143
56.534,-82.486
74.078,-67.174
87.847,-47.780
96.773,-25.198
99.998,-0.628
