56.77332018,159.0588630
56.73775241,159.1033068
56.69924553,158.8521792
56.63909137,158.3652239
56.52565822,157.3725467
56.46864992,156.1064523
56.37635573,154.3327059
56.29754313,152.2147493
56.20953636,149.6538227
56.11700465,146.7353013
56.02749463,143.3328321
55.94150996,139.5842472
55.87121583,135.390756
55.79871009,130.8580457
55.72000331,125.8027261
55.63110509,120.4771106
55.56317334,114.6104843
55.50151110,108.4708677
55.41030097,101.817851
55.37854539,94.85351054
55.26979351,87.40682394
55.16920635,79.66532185
55.06745517,71.4693565
55.00074226,63.06163446
54.92283025,54.10756965
54.79416026,44.90315368
54.73363603,35.25646548
54.69394405,25.35247176
54.61369966,15.04765082
54.57538482,4.530684274
